"Website","Product Name","Price","Image URL","Specification 1","Specification 2","Specification 3","Specification 4","Specification 5","Specification 6","Specification 7","Specification 8","Specification 9","Specification 10","Specification 11","Specification 12","Specification 13","Specification 14","Specification 15","Specification 16","Specification 17","Specification 18","Specification 19","Specification 20","Specification 21","Specification 22","Specification 23","Specification 24","Specification 25","Specification 26","Specification 27","Specification 28","Specification 29","Specification 30","Specification 31","Specification 32","Specification 33","Specification 34","Specification 35","Specification 36","Specification 37","Specification 38","Specification 39","Specification 40","Specification 41","Specification 42","Specification 43","Specification 44","Specification 45","Specification 46","Specification 47"
"RIVERSOFT","Frizider Vgraden kombiniran VOX IKG 2630F , Frizider 172L, Zamrznuvac 38L","16999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/74138-2/1.webp","Нето - волумен на артиклите во фрижидерот 172 л","Боја Бела","Гаранција 5 години","Класа на енергија F","Нето - волумен на артиклите во замрзнувачот 38 л","Внатрешност на фрижидерот","4 сталажи -полици, 3 полици со врати, 1 фиока","Сад за јајца Да","Сад за лед Да","Капацитет на замрзнување 2.60","Климатска класа N","Нето капацитет на уредот 210 л","Ниво на бучава 38 dB","Реверзибилна врата Да","Систем за одмрзнување Автоматски / Прирачник","Сретство за ладење R600a","Тивко работење Дa","Прекинувач за брзо замрзнување Да","Режим за брзо замрзнување Дa","Нето тежина 36.5 кг","Количински товар (40ftHC контејнер) 140","Вкупна тежина 41 кг","Димензи на апаратот (ШxВxД) 540x1445x545 мм","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider vgraden kombiniran HOOBART RFHBHOBF178SBI,, 248L(184/64), A, 178cm","16999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/47012155/1.webp","Комбиниран фрижидер за вградување","Енергетска класа:А","Нето капацитет:248L","Капацитет на фрижидерот:184L","Капацитет на замрзнувачот:64L","Капацитет на замрзнување: 3.2kg/24h","Ниво на бучава:42dB","Димензии178x54x54cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider Vgraden kombiniran VOX IKG2630E,310L(172L/38L),E klasa","17199.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9999231/1.webp","ОСНОВНИ ИНФОРМАЦИИ","Нето - волумен на артиклите во фрижидерот 172 л","Бојата Бело","Гаранција 5 години","Нето - волумен на артиклите во замрзнувачот 38 l / 38 l","ТЕХНИЧКИ КАРАКТЕРИСТИКИ","Климатска класа N","Нето капацитет на уредот 210 л","Реверзибилна врата Да","Систем за ладење LessFrost","Систем за одмрзнување Автоматски / Прирачник","Сретство за ладење R600a","Тивко работење Дa","БЕЗБЕДНА УПОТРЕБА","Анти-бактериска заштита Да","ДИМЕНЗИИ И ТЕЖИНА","Дименѕије апарата (ШxВxД) 540x1445x545 мм","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider vgraden VOX IKS 1600 E so mala komora E klasa","17399.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9999401/1.webp","ОСНОВНИ ИНФОРМАЦИИ","Бојата Бело","Гаранција 5 години","Нето - волумен на артиклите во замрзнувачот 17 l / 17 l","ТЕХНИЧКИ КАРАКТЕРИСТИКИ","Сад за јајца Да","Сад за лед Да","Капацитет на замрзнување 2.60","Годишно потрошена енергија (kWh) 149","Нето капацитет на уредот 114 л","Ниво на бучава 39 dB","Реверзибилна врата Да","Систем за ладење Static","Систем за одмрзнување Автоматски / Прирачник","Сретство за ладење R600a","Тивко работење Дa","ПРОГРАМИ И ФУНКЦИИ","Режим за брзо замрзнување Дa","БЕЗБЕДНА УПОТРЕБА","Анти-бактериска заштита Да","ДИМЕНЗИИ И ТЕЖИНА","Нето тежина 30 кг","Вкупна тежина 32.5 кг","Дименѕије апарата (ШxВxД) 595x818x548 мм","Дименѕије спкованог апарата (ШxВxД) 659x883x586 мм","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider kombiniran VOX KK 3400 F, Bel, A+, 202L Frizider, 84L komora","17799.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/107436/1.webp","Категорија Фрижидери комбинирани со замрзнувач долу","Нето капацитет на уредот 286 л","Бруто капацитет на уредот 288 l","Нето - волумен на артиклите во фрижидерот 202 л","Нето - волумен на артиклите во замрзнувачот 84 л","Капацитет на замрзнување 4 кг","Внатрешност на фрижидерот 4 стаклени плочи, 1 фиоки, 4полици со врати","Внатрешен замрзнувач 2 стаклени полици, 3 фиока","Сад за јајца Да","Сад за лед Да","Лесно чистење на ентериерот Да","Zero Clerance Да","Технологија Анти-бактериска заштита, Внатрешно лед осветлување, Голема преграда за овошје и зеленчук","Климатска класа ST / N","Систем за ладење СТАТИЧЕН","Гас R600a","Класа на енергија A+","Ниво на бучава 40 dB","Реверзибилна врата Да","Потрошена енергија (kWh/години) 264 kWh","Висина на фрижидерот 1800 mm","Ширина на фрижидерот 540 мм","Длабочина на фрижидерот 595 мм","Дименѕзии на спакован апарат (ШxВxД) 578x1852x632 мм","Нето тежина 52 кг","Вкупна тежина 56 кг","Гаранција 5 Години","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider kombiniran DAEWOO FKL268FWT1RS White, Lil-Frost, F klasa","15499.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/151201/1.webp","Lil-Frost,","F енергетска класа,","Нето волумен 268l (184+84l),","LED осветлување,","Диспензер за вода,","OptiCrisp Zone,","Odor Free,","Easy-to-Change Door,","Димензии (Ш*В*Д): 540*1700*595,","БЕЛО","Гаранција 2 години","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider kombiniran DAEWOO FKL268FUT0RS Svetlo Plava, Lil-Frost, F klasa","14999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/151203/1.webp","Lil-Frost,","F енергетска класа,","Нето волумен 268l (184+84l),","LED осветлување,","OptiCrisp Zone,","Odor Free,","Easy-to-Change Door,","Димензии (Ш*В*Д): 540*1700*595,","Светло плава","Гаранција 2 години","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider kombiniran VOX KK 3600 F White, A+, 336L(230L/106L)","19499.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/15455/1.webp","ОСНОВНИ ИНФОРМАЦИИ","Нето - волумен на артиклите во фрижидерот 234 л","Бојата Бело","Гаранција 5 години","Класа на енергија F","Нето - волумен на артиклите во замрзнувачот 107 л","Тип на контрола Механички","ТЕХНИЧКИ КАРАКТЕРИСТИКИ","Внатрешност на фрижидерот 4 стаклени плочи, 1 фиоки, 3 полици со врати","Внатрешен замрзнувач 3 фиоки","Годишно потрошена енергија (kWh) 302 kWh","Климатска класа T / SN","Нето капацитет на уредот 341 л","Ниво на бучава 39 dB","Прекинувач за брзо замрзнување Да","Реверзибилна врата Да","Систем за ладење Static - Less Frost","Систем за одмрзнување Автоматски / Прирачник","Сретство за ладење R600a","Тивко работење Дa","ПРОГРАМИ И ФУНКЦИИ","Брз режим за замрзнување Да","БЕЗБЕДНА УПОТРЕБА","Анти-бактериска заштита Да","ДИМЕНЗИИ И ТЕЖИНА","Нето тежина 64 кг","Количински товар (40ftHC контејнер) 72 ком","Вкупна тежина 70 кг","Димензии на уредот (ШxВxД) 595x1860x650 мм","Дименѕије спкованог апарата (ШxВxД) 664x1916x728 мм","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider kombiniran DAEWOO FKL288FWT1RS WHITE, Lil-Frost, F klasa","15999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/151181/1.webp","Lil-Frost,","F енергетска класа,","Нето волумен 288l (204+84l),","LED осветлување,","Диспензер за вода,","OptiCrisp Zone,","Odor Free,","Easy-to-Change Door,","Димензии (S*V*D): 540*1800*595,","Бело","Гаранција 2 години","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider vgraden kombiniran VOX IKK 2460 E Less Frost 211L(154L/57L) E klasa","19599.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9999400/1.webp","ОСНОВНИ ИНФОРМАЦИИ","Нето - волумен на артиклите во фрижидерот 154 л","Бојата Бело","Гаранција 5 години","Нето - волумен на артиклите во замрзнувачот 57 л","ТЕХНИЧКИ КАРАКТЕРИСТИКИ","Капацитет на замрзнување 2.60","Климатска класа T / N","Нето капацитет на уредот 211 л","Ниво на бучава 38 dB","Систем за ладење LessFrost","Систем за одмрзнување Автоматски / Прирачник","Сретство за ладење R600a","ПРОГРАМИ И ФУНКЦИИ","Режим за брзо замрзнување Дa","ДИМЕНЗИИ И ТЕЖИНА","Нето тежина 44 кг","Вкупна тежина 47 kg","Дименѕије апарата (ШxВxД) 540x1440x545 мм","Дименѕије спкованог апарата (ШxВxД) 584x1504x577 мм","","","","","","","","","","","","","","","","","","","","","","","","","","",""
