"Website","Product Name","Price","Image URL","Specification 1","Specification 2","Specification 3","Specification 4","Specification 5","Specification 6","Specification 7","Specification 8","Specification 9","Specification 10","Specification 11","Specification 12","Specification 13","Specification 14","Specification 15","Specification 16","Specification 17","Specification 18","Specification 19","Specification 20","Specification 21","Specification 22","Specification 23","Specification 24","Specification 25","Specification 26","Specification 27","Specification 28","Specification 29","Specification 30","Specification 31","Specification 32","Specification 33","Specification 34","Specification 35","Specification 36","Specification 37","Specification 38","Specification 39","Specification 40","Specification 41","Specification 42","Specification 43","Specification 44","Specification 45","Specification 46","Specification 47","Specification 48","Specification 49","Specification 50","Specification 51","Specification 52","Specification 53","Specification 54","Specification 55","Specification 56","Specification 57","Specification 58","Specification 59","Specification 60","Specification 61","Specification 62","Specification 63","Specification 64","Specification 65","Specification 66","Specification 67","Specification 68","Specification 69","Specification 70","Specification 71","Specification 72","Specification 73","Specification 74","Specification 75","Specification 76","Specification 77","Specification 78","Specification 79","Specification 80","Specification 81","Specification 82","Specification 83","Specification 84","Specification 85","Specification 86","Specification 87","Specification 88","Specification 89","Specification 90","Specification 91","Specification 92","Specification 93","Specification 94","Specification 95","Specification 96","Specification 97","Specification 98","Specification 99","Specification 100","Specification 101","Specification 102","Specification 103","Specification 104","Specification 105","Specification 106","Specification 107","Specification 108","Specification 109","Specification 110","Specification 111","Specification 112","Specification 113","Specification 114","Specification 115"
"NEPTUN","Инвертер клима уред FUEGO FGTC18INV-WMSE2 18000btu, 5.2kW, A++/A+","30999.00 ден.","https://www.neptun.mk/2025/06/27/SE2SE32-Copy-Copy_b6434818-d100-46e7-a2cb-26bc0361eff5.png?width=192","Инвертер клима уред","Моќност: 5.2kW","Моќност ладење/греење: 5140/5210W","Енергетска класа на ладење: A++","Енергетска класа на греење: A+","Циркулација на воздух: до 800m³/h","Работна температура: Cooling:-15-53/Heating:-20-30°C","SEER: 6.5","EER: 3.28","SCOP: 4","COP: 3.78","Ниво на бучава (Внатрешна единица): 56dB","Годишна потрошувачка на енергија за греење: 1365kWh/a","Годишна потрошувачка на енергија за ладење: 275kWh/a","WiFi: Не","Вклучен кит за монтажа","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред HOOBART HBAX18INV-WMSE2 18000btu, 5.3kW, A++/A+","32999.00 ден.","https://www.neptun.mk/2025/06/09/1-Copy_04e003cc-6ee6-4ff1-94ad-2fb82130cd24.png?width=192","Инвертер клима уред","Моќност: 5.3kW","Моќност ладење/греење: 5300/5400W","Енергетска класа на ладење: A++","Енергетска класа на греење: A+","Циркулација на воздух: до 950m³/h","Работна температура: ладење:-15 - 49/греење:-25 - 32°C","SEER: 6.8","SCOP: 4","Ниво на бучава (Внатрешна единица): 58dB","Годишна потрошувачка на енергија за греење: 1365kWh/a","Годишна потрошувачка на енергија за ладење: 273kWh/a","WiFi: Не","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред FUEGO FGTC18INV-WIFI-WMSE3 18000btu, 5.2kW, A++/A+","33999.00 ден.","https://www.neptun.mk/2025/07/01/WMSE3.png?width=192","Инвертер клима уред","Моќност: 5.2kW","Моќност ладење/греење: 5140/5210W","Енергетска класа на ладење: A++","Енергетска класа на греење: A+","Циркулација на воздух: до 800m³/h","Работна температура: Cooling:-15-53/Heating:-20-30°C","SEER: 6.5","EER: 3.28","SCOP: 4","COP: 3.78","Ниво на бучава (Внатрешна единица): 56dB","Годишна потрошувачка на енергија за греење: 1365kWh/a","Годишна потрошувачка на енергија за ладење: 275kWh/a","WiFi: Да","Вклучен кит за монтажа","Грејач на кондензатор","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред LG S12 EQ.NSJ/UA3, 3.5/4.0KW, R32","34999.00 ден.","https://www.neptun.mk/2018/07/19/LG_S_18EQ.NSK_9ac63ae1-6827-43d5-a2d8-b469a0d1f23e.jpg?width=192","Инвертер клима уред","Капацитет на ладење:3,5 kW А++","EER 3,24","SEER 6,60","Капацитет на греење:4,0 kW А+","COP 3,81","SCOP 4,0","Работна температура:-15~46","R32 еколошки фреон","Ниво на бучава:","Внатрешна: 59dB","Надворешна: 65dB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред FUEGO FGTC18INV-WIFI-WMSE4 ,18000btu/h,A++/A+","34999.00 ден.","https://www.neptun.mk/2025/07/08/SE4-Copy_c0240c8f-7c70-478a-89c3-2058c9eba465.png?width=192","Инвертер клима уред","Моќност: 5.2kW","Моќност ладење/греење: 5140/5210W","Енергетска класа на ладење: A++","Енергетска класа на греење: A+","Циркулација на воздух: до 800m³/h","Работна температура: Cooling:-15-53/Heating:-20-30°C","SEER: 6.8","EER: 3.28","SCOP: 4","COP: 3.78","Ниво на бучава (Внатрешна единица): 56dB","Годишна потрошувачка на енергија за греење: 1400kWh/a","Годишна потрошувачка на енергија за ладење: 263kWh/a","WiFi: Да","Вклучен кит за монтажа","Грејач на кондензатор","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред FUEGO FGTC18INV-WIFI-BWMSE6, 5.1/.5.1KW, A++","34999.00 ден.","https://www.neptun.mk/2024/02/02/klima_e819decd-4cc3-4ee8-bc00-749fce199289.jpeg?width=192","Инвертер клима уред","Капацитет: 18000BTU","Енергетска класа на ладење:А++","Енергетска класа на греење:А+","Циркулација на воздух:800m³/h","6.1 (SEER)","4.0 (SCOP)","Моќност:","Ладење: 5100(1250-5910)","Греење: 5100(1250-6070)","Wi-Fi","R32 еколошки фреон","Работна температура:од -20/+53","Вклучен кит за монтажа","Грејач на кодензатор","*Можност за 5 годишна гаранција со доплата","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред LG S12EC.NSJS / S12EC.UA3S 12000btu, 3.5kW, A++/A+","36999.00 ден.","https://www.neptun.mk/2025/02/11/klimalgs12_732a4340-a38c-4626-9361-fd3a02f3bf75.jpg?width=192","Инвертер клима уред","Dual Inverter компресор","Капацитет на ладење:3500W","Капацитет на греење:4000W","Енергетска класа на ладење:А++","Енергетска класа на греење:А+","Годишна потрошувачка на енергија(ладење):186kWh","Годишна потрошувачка на енергија(греење):875kWh","Ниво на бучава:41dB","WiFi","Smart Diagnosis","R32 фреон","SEER:6.6","SCOP:4.0","Димензии:837 x 308 x 189mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред FUEGO FGTC18INV-WIFI-WMSE5 18000btu, 5.3kW, A++/A+","36999.00 ден.","https://www.neptun.mk/2025/04/11/SE5-Copy_b28a0d20-1efa-4506-a460-a82cae14a61a.png?width=192","Инвертер клима уред","Моќност: 5.3kW","Моќност ладење/греење: 5200/5300W","Енергетска класа на ладење: A++","Енергетска класа на греење: A+","Циркулација на воздух: до 820m³/h","Работна температура: Cooling:-15-53/Heating:-20-30°C","SEER: 6.5","EER: 3.25","SCOP: 4","COP: 3.77","Ниво на бучава (Внатрешна единица): 56dB","Годишна потрошувачка на енергија за греење: 1365kWh/a","Годишна потрошувачка на енергија за ладење: 280kWh/a","WiFi: Да","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред HOOBART HBAX18INV-WIFI-WMSE4 18000btu, 5.3kW, A++/A+","37999.00 ден.","https://www.neptun.mk/2025/05/13/1-Copy_dc682998-6d3c-4a0e-82d7-50dcf790b5ce.png?width=192","Инвертер клима уред","Моќност: 5.3kW","Моќност ладење/греење: 5300/5300W","Енергетска класа на ладење: A++","Енергетска класа на греење: A+","Циркулација на воздух: до 900m³/h","Работна температура: ладење:-15 - 49/греење:-25 - 32°C","SEER: 6.8","SCOP: 4","Ниво на бучава (Внатрешна единица): 59dB","Годишна потрошувачка на енергија за греење: 1365kWh/a","Годишна потрошувачка на енергија за ладење: 273kWh/a","WiFi: Да","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред HOOBART HBAX18INV-WIFI-WMSE5 18000btu, 5.3kW, A++/A+","37999.00 ден.","https://www.neptun.mk/2025/05/06/1-Copy_f3c7a453-6047-462c-a8f0-0df619c17921.png?width=192","Инвертер клима уред","Моќност: 5.3kW","Моќност ладење/греење: 5300/5300W","Енергетска класа на ладење: A++","Енергетска класа на греење: A+","Циркулација на воздух: до 900m³/h","Работна температура: ладење:-15 - 49/греење:-25 - 32°C","SEER: 6.8","SCOP: 4","Ниво на бучава (Внатрешна единица): 59dB","Годишна потрошувачка на енергија за греење: 1365kWh/a","Годишна потрошувачка на енергија за ладење: 273kWh/a","WiFi: Да","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред HOOBART HBTC18INV-WIFI-WMSE5, 5.1kW,/5.13kW, А++/A+","37999.00 ден.","https://www.neptun.mk/2023/08/07/91-removebg-preview_6f29d7c2-6858-4856-af32-4b7e17ed6831.png?width=192","Инвертер клима уред","Капацитет ладење/греење: 5.1kW, 5.13kW","Енергетска класа на ладење:А++","Енергетска класа на греење:А+","Циркулација на воздух 820m3/h","SEER:6.1, SCOP:4.0","Ниво на бучава: 36dB","Работна температура: -20/53","R32 еколошки фреон","Вграден Wi-Fi","Греач на кондензатор","Вклучен кит за монтажа","3D swing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред HOOBART HBAX24INV-WMSE2 24000btu, 7.3kW, A++/A+","39999.00 ден.","https://www.neptun.mk/2025/05/13/1-Copy2_685a382d-f5bd-4475-896d-e78cc1649b3f.png?width=192","Инвертер клима уред","Моќност: 7.3kW","Моќност ладење/греење: 7300/7300W","Енергетска класа на ладење: A++","Енергетска класа на греење: A+","Циркулација на воздух: до 1300m³/h","Работна температура: ладење:-15 - 49/греење:-25 - 32°C","SEER: 6.53","SCOP: 4.09","Ниво на бучава (Внатрешна единица): 63dB","Годишна потрошувачка на енергија за греење: 1950kWh/a","Годишна потрошувачка на енергија за ладење: 359kWh/a","WiFi: Не","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред FUEGO FGTC24INV-WIFI-WMSE3, 7kw, А++/A+","39999.00 ден.","https://www.neptun.mk/2024/07/09/FuegoKlima_dba2cc07-5b30-4a45-83c1-07182dd09f1d.JPG?width=192","Инвертер клима уред","Капацитет: 7kw","Енергетска класа на ладење:А++","Енергетска класа на греење:А+","SEER:6.1, SCOP:4.0","Ниво на бучава: 57dB","Проток на воздух: 980m3","Работна температура: -20 / 53?","R32 еколошки фреон","Вграден Wi-Fi","Грејач на кондензатор","Вклучен кит за монтажа","Димензии: 1010×315×220mm","*Можност за 5 годишна гаранција со доплата","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред HISENSE DJ50XA0EG / DJ50XA0EW ,18000btu/h,A++/A+","39999.00 ден.","https://www.neptun.mk/2025/07/15/image-Photoroom706_51c9a102-759d-41f4-846e-03365df4a296.png?width=192","Инвертер клима уред","Моќност (ладење/греење):5000/5600W","Капацитет (ладење/греење):18000btu/h","Проток на воздух: до 1000m3/h","SEER:6.1","SCOP:5.1","Енергетска класа (ладење/греење):А++/А+","Работна температура:-20~50°C","Вграден WiFi - ConnectLife апликација","Функција за тивка работа","Ноќен режим","Тајмер - 24часа","Филтер со активен јаглен","Smart Mode - функција за оптимална температура","Хидрофилна и антивирусна алуминиумска мрежа","Двоен одвод на кондензатот","Брзо ладење-Турбо режим","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
